Grid_ID,row,col,lat,lon,Distance_to_Camp_km,Treatment_Status,Land_Frac,Forest_Frac,Tree_Cover_2000_mean,N_forest_px,Cumulative_Pre_Loss_2001_2016,Loss_any_frac_of_forest,Donor_Eligible,Reject_Reason,PreTrend_RMSE,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016
G099_035,99,35,21.3045,92.2195,13.1,spillover_excluded,1.0,0.925,73.8,1199,0.1076,0.1076,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01168,0.01585,0.05922,0.00167,0.01585,0.0,0.0,0.0,0.00167,0.00167
G099_036,99,36,21.3045,92.2285,13.57,spillover_excluded,1.0,0.375,25.2,486,0.0658,0.0658,,,,0.0,0.02263,0.0,0.0,0.0,0.0,0.0144,0.00412,0.02263,0.00206,0.0,0.0,0.0,0.0,0.0,0.0
G099_037,99,37,21.3045,92.2375,14.08,spillover_excluded,1.0,0.111,5.5,144,0.0347,0.0347,,,,0.0,0.0,0.0,0.02778,0.0,0.0,0.00694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_038,99,38,21.3045,92.2465,14.63,spillover_excluded,1.0,0.068,3.6,88,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G099_039,99,39,21.3045,92.2555,15.22,spillover_excluded,1.0,0.1,5.6,130,0.0077,0.0077,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00769,0.0,0.0,0.0,0.0
G099_040,99,40,21.3045,92.2645,15.84,spillover_excluded,1.0,0.471,31.0,610,0.0115,0.0115,,,,0.00492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00328,0.0,0.00328,0.0,0.0,0.0,0.0
G099_041,99,41,21.3045,92.2735,16.5,spillover_excluded,1.0,0.944,73.3,1224,0.0016,0.0016,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082,0.00082,0.0,0.0,0.0
G099_042,99,42,21.3045,92.2825,17.18,spillover_excluded,0.997,0.462,32.4,599,0.0434,0.0434,,,,0.02003,0.0,0.0,0.00167,0.00167,0.0,0.00167,0.0,0.01002,0.0,0.00334,0.00501,0.0,0.0,0.0,0.0
G099_043,99,43,21.3045,92.2915,17.88,spillover_excluded,1.0,0.136,8.7,176,0.0227,0.0284,,,,0.0,0.01136,0.0,0.0,0.01136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_000,100,0,21.2955,91.9045,28.53,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_001,100,1,21.2955,91.9135,27.67,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_002,100,2,21.2955,91.9225,26.81,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_003,100,3,21.2955,91.9315,25.95,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_004,100,4,21.2955,91.9405,25.1,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_005,100,5,21.2955,91.9495,24.26,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_006,100,6,21.2955,91.9585,23.42,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_007,100,7,21.2955,91.9675,22.59,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G100_008,100,8,21.2955,91.9765,21.77,donor_candidate,0.0,0.0,0.0,0,0.0,0.0,0,data_missing/water,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
